HCF_code,ART_supply
HCF1,1009
HCF2,1888
HCF3,1951
HCF4,3034
HCF5,961
HCF6,3743
HCF7,1049
HCF8,1670
HCF9,1345
HCF10,624
HCF11,9
HCF12,991
HCF13,265
HCF14,149
HCF15,1826
HCF16,2715
HCF17,1943
HCF18,216
HCF19,1631
HCF20,195
HCF21,2463
HCF22,344
HCF23,456
HCF24,3598
HCF25,2283
HCF26,2151
HCF27,1460
HCF28,841
HCF29,1189
HCF30,3486
HCF31,797
HCF32,1810
HCF33,643
HCF34,1184
HCF35,1792
HCF36,4641
HCF37,1132
HCF38,840
HCF39,904
HCF40,3290
HCF41,243
HCF42,1358
HCF43,1549
HCF44,2783
HCF45,369
HCF46,538
HCF47,479
HCF48,460
HCF49,360
HCF50,1949
HCF51,750
HCF52,2688
HCF53,339
HCF54,4066
HCF55,127
HCF56,2069
HCF57,272
HCF58,1410
HCF59,1476
HCF60,682
HCF61,1181
HCF62,1382
HCF63,2040
HCF64,1948
HCF65,2182
HCF66,2040
HCF67,68
HCF68,1385
HCF69,1043
HCF70,633
HCF71,2885
HCF72,1567
HCF73,2524
HCF74,1257
HCF75,1870
HCF76,1
HCF77,3316
HCF78,1990
HCF79,1934
HCF80,2033
HCF81,909
HCF82,5755
HCF83,979
HCF84,3872
HCF85,1374
HCF86,1415
HCF87,1621
HCF88,1081
HCF89,1927
HCF90,4149
HCF91,575
HCF92,1633
HCF93,2466
HCF94,3172
HCF95,1072
HCF96,1766
HCF97,57
HCF98,263
HCF99,4250
HCF100,2223
HCF101,172
HCF102,147
HCF103,1549
HCF104,3770
HCF105,578
HCF106,855
HCF107,589
HCF108,951
HCF109,3712
HCF110,341
HCF111,2161
HCF112,2885
HCF113,2325
HCF114,319
HCF115,585
HCF116,4414
HCF117,1733
HCF118,239
HCF119,574
HCF120,1860
HCF121,1717
HCF122,2673
HCF123,448
