Population_centroid_code,Number_PLHIV
PC1,153
PC2,234
PC3,29
PC4,0
PC5,195
PC6,93
PC7,46
PC8,225
PC9,271
PC10,218
PC11,128
PC12,5
PC13,6
PC14,105
PC15,47
PC16,32
PC17,315
PC18,166
PC19,268
PC20,80
PC21,122
PC22,273
PC23,70
PC24,11
PC25,39
PC26,225
PC27,109
PC28,142
PC29,179
PC30,155
PC31,53
PC32,55
PC33,63
PC34,187
PC35,206
PC36,128
PC37,34
PC38,84
PC39,238
PC40,128
PC41,100
PC42,156
PC43,205
PC44,123
PC45,154
PC46,148
PC47,274
PC48,280
PC49,27
PC50,99
PC51,105
PC52,30
PC53,78
PC54,38
PC55,258
PC56,163
PC57,189
PC58,395
PC59,246
PC60,259
PC61,203
PC62,73
PC63,180
PC64,93
PC65,262
PC66,49
PC67,20
PC68,252
PC69,179
PC70,45
PC71,142
PC72,23
PC73,35
PC74,63
PC75,130
PC76,60
PC77,290
PC78,332
PC79,303
PC80,368
PC81,168
PC82,155
PC83,60
PC84,12
PC85,198
PC86,26
PC87,54
PC88,22
PC89,236
PC90,17
PC91,99
PC92,216
PC93,157
PC94,14
PC95,139
PC96,27
PC97,164
PC98,76
PC99,129
PC100,160
PC101,40
PC102,165
PC103,4
PC104,193
PC105,53
PC106,135
PC107,114
PC108,106
PC109,167
PC110,92
PC111,200
PC112,235
PC113,5
PC114,241
PC115,296
PC116,57
PC117,85
PC118,75
PC119,169
PC120,167
PC121,190
PC122,301
PC123,270
PC124,241
PC125,49
PC126,64
PC127,86
PC128,43
PC129,163
PC130,40
PC131,5
PC132,154
PC133,203
PC134,123
PC135,220
PC136,65
PC137,41
PC138,157
PC139,53
PC140,147
PC141,26
PC142,70
PC143,121
PC144,9
PC145,285
PC146,108
PC147,148
PC148,118
PC149,338
PC150,103
PC151,82
PC152,270
PC153,101
PC154,143
PC155,216
PC156,19
PC157,156
PC158,176
PC159,190
PC160,73
PC161,264
PC162,134
PC163,28
PC164,27
PC165,149
PC166,196
PC167,15
PC168,143
PC169,92
PC170,58
PC171,43
PC172,239
PC173,207
PC174,61
PC175,2
PC176,9
PC177,154
PC178,117
PC179,93
PC180,204
PC181,103
PC182,70
PC183,283
PC184,25
PC185,247
PC186,36
PC187,102
PC188,290
PC189,332
PC190,16
PC191,220
PC192,109
PC193,173
PC194,81
PC195,344
PC196,60
PC197,193
PC198,301
PC199,180
PC200,170
PC201,61
PC202,80
PC203,182
PC204,158
PC205,139
PC206,5
PC207,184
PC208,212
PC209,104
PC210,32
PC211,163
PC212,256
PC213,54
PC214,16
PC215,63
PC216,12
PC217,156
PC218,92
PC219,298
PC220,154
PC221,247
PC222,139
PC223,78
PC224,186
PC225,150
PC226,210
PC227,0
PC228,144
PC229,132
PC230,84
PC231,325
PC232,131
PC233,94
PC234,1
PC235,145
PC236,62
PC237,168
PC238,216
PC239,53
PC240,205
PC241,54
PC242,213
PC243,188
PC244,147
PC245,210
PC246,32
PC247,202
PC248,22
PC249,86
PC250,240
PC251,84
PC252,153
PC253,16
PC254,275
PC255,158
PC256,108
PC257,139
PC258,242
PC259,92
PC260,115
PC261,10
PC262,273
PC263,275
PC264,71
PC265,142
PC266,163
PC267,3
PC268,185
PC269,201
PC270,248
PC271,149
PC272,146
PC273,66
PC274,272
PC275,183
PC276,67
PC277,192
PC278,53
PC279,133
PC280,151
PC281,97
PC282,208
PC283,270
PC284,13
PC285,63
PC286,103
PC287,175
PC288,173
PC289,156
PC290,355
PC291,164
PC292,111
PC293,311
PC294,157
PC295,186
PC296,99
PC297,64
PC298,282
PC299,13
PC300,170
